time,I_AML1,I_AMD1,I_AMD2,I_AMIout,V_VMSw1,V_VMSw2,V_VML1,V_VMC1,V_VMp,V_VMD1,V_VMS1,V_VMD2,V_VMS2,V_VMout
0.0000385000,32.8637161255,995.2325439453,0.0000000000,995.2325439453,1000.0000000000,0.0000000000,1375.8214111328,-1748.8796386719,373.0581970215,0.0000000000,14.5681276321,-32.7279129028,-18.1597862244,14.5681276321
0.0000390000,41.5016670227,1133.0198974609,0.0000000000,1133.0198974609,1000.0000000000,0.0000000000,672.5712890625,-988.9196166992,316.3483276367,0.0000000000,15.0788106918,-31.8338356018,-16.7550239563,15.0788106918
0.0000395000,43.9258499146,1165.9108886719,0.0000000000,1165.9108886719,1000.0000000000,0.0000000000,-139.6101226807,-110.6424407959,250.2525634766,0.0000000000,15.6328639984,-30.7301559448,-15.0972919464,15.6328639984
0.0000400000,39.7060203552,1086.6520996094,0.0000000000,1086.6520996094,0.0000000000,1000.0000000000,-23.9529113770,753.8023681641,270.1505432129,0.0000000000,16.1767272949,-32.1266212463,-15.9498929977,16.1767272949
0.0000405000,36.7057228088,1027.6542968750,0.0000000000,1027.6542968750,0.0000000000,1000.0000000000,-753.9403686523,1543.0153808594,210.9250030518,0.0000000000,16.6854705811,-31.1560516357,-14.4705801010,16.6854705811
0.0000410000,28.0988903046,874.0080566406,0.0000000000,874.0080566406,0.0000000000,1000.0000000000,-1377.3281250000,2216.5966796875,160.7313995361,0.0000000000,17.1426868439,-30.3725128174,-13.2298259735,17.1426868439
0.0000415000,15.1303424835,646.7093505859,0.0000000000,646.7093505859,0.0000000000,1000.0000000000,-1798.7108154297,2670.9863281250,127.7244720459,0.0000000000,17.5064849854,-29.9518089294,-12.4453239441,17.5064849854
0.0000420000,-0.2824320793,378.0984802246,0.0000000000,378.0984802246,0.0000000000,1000.0000000000,-1952.2600097656,2834.7285156250,117.5314788818,0.0000000000,17.7480087280,-30.0153331757,-12.2673244476,17.7480087280
0.0000425000,-15.8324165344,107.0848541260,0.0000000000,107.0848541260,0.0000000000,1000.0000000000,-1811.9870605469,2679.6118164062,132.3751983643,0.0000000000,17.8559246063,-30.6111316681,-12.7552070618,17.8559246063
0.0000430000,-29.1680717468,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000.0000000000,-1225.3823242188,2225.3823242188,0.0000000000,-17.8383159637,0.0000000000,-17.8383159637,0.0000000000,17.8383159637
0.0000435000,-30.5167255402,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000.0000000000,-106.8323974609,1605.3835449219,-498.5511474609,-46.8401527405,-29.0204086304,11.2006645203,29.0204086304,17.8197441101
0.0000440000,-30.9424324036,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000.0000000000,5.8544921875,966.8245849609,27.3209228516,-16.2108554840,1.5903358459,-19.3915271759,-1.5903358459,17.8011913300
0.0000445000,-30.4319534302,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000.0000000000,670.9782104492,329.0217895508,0.0000000000,0.0000000000,17.7826576233,-17.7826576233,0.0000000000,17.7826576233
0.0000450000,-25.5903930664,72.3287124634,0.0000000000,72.3287124634,1000.0000000000,0.0000000000,-43.8364868164,-251.5202331543,295.3567199707,0.0000000000,17.7834243774,-35.2699356079,-17.4865093231,17.7834243774
0.0000455000,-24.1490764618,87.4013214111,0.0000000000,87.4013214111,1000.0000000000,0.0000000000,425.6082153320,-764.9526977539,339.3444519043,0.0000000000,17.8067035675,-36.5914840698,-18.7847785950,17.8067035675
0.0000460000,-19.0674304962,163.7496032715,0.0000000000,163.7496032715,1000.0000000000,0.0000000000,835.5745849609,-1213.7448730469,378.1703186035,0.0000000000,17.8514633179,-37.7942047119,-19.9427394867,17.8514633179
0.0000465000,-11.0761070251,289.0537719727,0.0000000000,289.0537719727,1000.0000000000,0.0000000000,1123.4306640625,-1529.9102783203,406.4796447754,0.0000000000,17.9451293945,-38.7625427246,-20.8174152374,17.9451293945
0.0000470000,-1.3534541130,443.4438476562,0.0000000000,443.4438476562,1000.0000000000,0.0000000000,1244.3724365234,-1664.8134765625,420.4410705566,0.0000000000,18.1072673798,-39.4137268066,-21.3064613342,18.1072673798
0.0000475000,8.6481294632,602.4280395508,0.0000000000,602.4280395508,1000.0000000000,0.0000000000,1178.3847656250,-1596.7265625000,418.3418273926,0.0000000000,18.3465423584,-39.7106323242,-21.3640918732,18.3465423584
0.0000480000,17.4190902710,740.5509033203,0.0000000000,740.5509033203,1000.0000000000,0.0000000000,933.5249023438,-1334.3931884766,400.8682556152,0.0000000000,18.6592845917,-39.6678428650,-21.0085582733,18.6592845917
0.0000485000,23.6204967499,835.2343139648,0.0000000000,835.2343139648,1000.0000000000,0.0000000000,544.9934082031,-916.0203857422,371.0270080566,0.0000000000,19.0299072266,-39.3499603271,-20.3200531006,19.0299072266
0.0000490000,26.2883529663,870.2236938477,0.0000000000,870.2236938477,1000.0000000000,0.0000000000,70.0877075195,-403.8011779785,333.7134704590,0.0000000000,19.4331398010,-38.8623352051,-19.4291973114,19.4331398010
0.0000495000,24.9832878113,838.1118774414,0.0000000000,838.1118774414,1000.0000000000,0.0000000000,-420.2376403809,125.2466278076,294.9909973145,0.0000000000,19.8377380371,-38.3355484009,-18.4978084564,19.8377380371
0.0000500000,19.8624401093,741.5516967773,0.0000000000,741.5516967773,0.0000000000,1000.0000000000,63.0604553223,590.7789306641,346.1606140137,0.0000000000,20.2111492157,-40.3914871216,-20.1803398132,20.2111492157
0.0000505000,18.9549255371,715.7469482422,0.0000000000,715.7469482422,0.0000000000,1000.0000000000,-308.6466064453,991.2546997070,317.3919067383,0.0000000000,20.5526809692,-40.0614166260,-19.5087337494,20.5526809692
0.0000510000,15.1490459442,640.9715576172,0.0000000000,640.9715576172,0.0000000000,1000.0000000000,-637.4118041992,1345.2122802734,292.1995239258,0.0000000000,20.8697681427,-39.7993469238,-18.9295768738,20.8697681427
0.0000515000,8.9913597107,526.4459228516,0.0000000000,526.4459228516,0.0000000000,1000.0000000000,-873.0563354492,1598.1842041016,274.8721313477,0.0000000000,21.1403598785,-39.6977081299,-18.5573482513,21.1403598785
0.0000520000,1.3898425102,387.4856872559,0.0000000000,387.4856872559,0.0000000000,1000.0000000000,-978.9718627930,1710.4332275391,268.5386352539,0.0000000000,21.3483810425,-39.8239593506,-18.4755764008,21.3483810425
0.0000525000,-6.5197505951,243.2479248047,0.0000000000,243.2479248047,0.0000000000,1000.0000000000,-937.7985839844,1663.1152343750,274.6833496094,0.0000000000,21.4862346649,-40.2101287842,-18.7238960266,21.4862346649
0.0000530000,-13.5433483124,113.8730468750,0.0000000000,113.8730468750,0.0000000000,1000.0000000000,-754.2492065430,1461.3452148438,292.9039916992,0.0000000000,21.5560207367,-40.8476066589,-19.2915859222,21.5560207367
0.0000535000,-18.6086139679,17.4485778809,0.0000000000,17.4485778809,0.0000000000,1000.0000000000,-454.6237792969,1133.6706542969,320.9531250000,0.0000000000,21.5693187714,-41.6879882812,-20.1186676025,21.5693187714
0.0000540000,-20.9284095764,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000.0000000000,272.0057983398,727.9942016602,0.0000000000,-21.5455284119,0.0000000000,-21.5455284119,0.0000000000,21.5455284119
