"Time / s","Am1-source:Measured current","AmD1:Measured current","AmD4:Measured current","AmD3:Measured current","AmD2:Measured current","VmD1:Measured voltage","VmD4:Measured voltage","VmD3:Measured voltage","VmD2:Measured voltage","VmC1:Measured voltage"
0.0024459999999999998,0,0,0,0,0,-4.9961718444403935,-11.652562734900176,-11.652562734900176,-4.9961718444403935,16.648734579340569
0.002447,0,0,0,0,0,-5.0471667866277752,-11.584927379726649,-11.584927379726649,-5.0471667866277752,16.632094166354424
0.0024480000000000001,0,0,0,0,0,-5.0982990946598052,-11.517171290804026,-11.517171290804026,-5.0982990946598052,16.61547038546383
0.0024489999999999998,0,0,0,0,0,-5.1495664134694206,-11.449296806575587,-11.449296806575587,-5.1495664134694206,16.598863220045008
0.0024499999999999999,0,0,0,0,0,-5.2009663829958965,-11.381306270494889,-11.381306270494889,-5.2009663829958965,16.582272653490786
0.0024510000000000001,0,0,0,0,0,-5.2524966382775506,-11.31320203093305,-11.31320203093305,-5.2524966382775506,16.565698669210601
0.0024519999999999998,0,0,0,0,0,-5.3041548095448539,-11.244986441085612,-11.244986441085612,-5.3041548095448539,16.549141250630466
0.0024529999999999999,0,0,0,0,0,-5.3559385223137443,-11.176661858879216,-11.176661858879216,-5.3559385223137443,16.53260038119296
0.002454,0,0,0,0,0,-5.4078453974788241,-11.10823064687839,-11.10823064687839,-5.4078453974788241,16.516076044357213
0.0024549999999999997,0,0,0,0,0,-5.4598730514071274,-11.039695172191761,-11.039695172191761,-5.4598730514071274,16.499568223598889
0.0024559999999999998,0,0,0,0,0,-5.5120190960317998,-10.971057806378361,-10.971057806378361,-5.5120190960317998,16.483076902410161
0.002457,0,0,0,0,0,-5.5642811389460842,-10.902320925353626,-10.902320925353626,-5.5642811389460842,16.46660206429971
0.0024579999999999997,0,0,0,0,0,-5.6166567834973424,-10.833486909295354,-10.833486909295354,-5.6166567834973424,16.450143692792697
0.0024589999999999998,0,0,0,0,0,-5.6691436288815282,-10.764558142549216,-10.764558142549216,-5.6691436288815282,16.433701771430744
0.0024599999999999999,0,0,0,0,0,-5.7217392702373928,-10.69553701353454,-10.69553701353454,-5.7217392702373928,16.417276283771933
0.0024610000000000001,0,0,0,0,0,-5.7744412987412996,-10.626425914649476,-10.626425914649476,-5.7744412987412996,16.400867213390775
0.0024619999999999998,0,0,0,0,0,-5.8272473017018189,-10.55722724217638,-10.55722724217638,-5.8272473017018189,16.384474543878198
0.0024629999999999999,0,0,0,0,0,-5.8801548626548392,-10.487943396186692,-10.487943396186692,-5.8801548626548392,16.368098258841531
0.002464,0,0,0,0,0,-5.9331615614584239,-10.418576780446063,-10.418576780446063,-5.9331615614584239,16.351738341904486
0.0024649999999999997,0,0,0,0,0,-5.986264974388118,-10.349129802319027,-10.349129802319027,-5.986264974388118,16.335394776707144
0.0024659999999999999,0,0,0,0,0,-6.0394626742324089,-10.279604872673533,-10.279604872673533,-6.0394626742324089,16.319067546905941
0.002467,0,0,0,0,0,-6.0927522303879904,-10.210004405785654,-10.210004405785654,-6.0927522303879904,16.302756636173644
0.0024679999999999997,0,0,0,0,0,-6.1461312089555609,-10.140330819243781,-10.140330819243781,-6.1461312089555609,16.286462028199342
0.0024689999999999998,0,0,0,0,0,-6.199597172835583,-10.070586533852842,-10.070586533852842,-6.199597172835583,16.270183706688425
0.00247,0,0,0,0,0,-6.2531476818240268,-10.000773973538545,-10.000773973538545,-6.2531476818240268,16.253921655362571
0.0024709999999999997,0,0,0,0,0,-6.3067802927084546,-9.9308955652512712,-9.9308955652512712,-6.3067802927084546,16.237675857959726
0.0024719999999999998,0,0,0,0,0,-6.3604925593642649,-9.8609537388698278,-9.8609537388698278,-6.3604925593642649,16.221446298234092
0.0024729999999999999,0,0,0,0,0,-6.414282032850692,-9.7909509271054187,-9.7909509271054187,-6.414282032850692,16.20523295995611
0.0024740000000000001,0,0,0,0,0,-6.4681462615073722,-9.7208895654050664,-9.7208895654050664,-6.4681462615073722,16.189035826912438
0.0024749999999999998,0,0,0,0,0,-6.5220827910506296,-9.6507720918553108,-9.6507720918553108,-6.5220827910506296,16.172854882905941
0.0024759999999999999,0,0,0,0,0,-6.5760891646702486,-9.5806009470854274,-9.5806009470854274,-6.5760891646702486,16.156690111755676
0.002477,0,0,0,0,0,-6.6301629231259085,-9.5103785741709608,-9.5103785741709608,-6.6301629231259085,16.140541497296869
0.0024779999999999997,0,0,0,0,0,-6.6843016048440447,-9.4401074185368579,-9.4401074185368579,-6.6843016048440447,16.124409023380903
0.0024789999999999999,0,0,0,0,0,-6.738502746014797,-9.3697899278605075,-9.3697899278605075,-6.738502746014797,16.108292673875305
0.00248,0,0,0,0,0,-6.7927638806888027,-9.2994285519749198,-9.2994285519749198,-6.7927638806888027,16.092192432663722
0.0024809999999999997,0,0,0,0,0,-6.8470825408742222,-9.2290257427716931,-9.2290257427716931,-6.8470825408742222,16.076108283645915
0.0024819999999999998,0,0,0,0,0,-6.901456256634023,-9.1585839541037046,-9.1585839541037046,-6.901456256634023,16.060040210737728
0.002483,0,0,0,0,0,-6.9558825561829352,-9.0881056416881556,-9.0881056416881556,-6.9558825561829352,16.043988197871091
0.0024840000000000001,0,0,0,0,0,-7.0103589659848309,-9.0175932630091573,-9.0175932630091573,-7.0103589659848309,16.027952228993989
0.0024849999999999998,0,0,0,0,0,-7.0648830108500462,-8.9470492772204047,-8.9470492772204047,-7.0648830108500462,16.011932288070451
0.0024859999999999999,0,0,0,0,0,-7.1194522140328145,-8.8764761450477234,-8.8764761450477234,-7.1194522140328145,15.995928359080537
0.0024870000000000001,0,0,0,0,0,-7.1740640973285732,-8.8058763286917419,-8.8058763286917419,-7.1740640973285732,15.979940426020315
0.0024879999999999998,0,0,0,0,0,-7.2287161811715679,-8.7352522917302835,-8.7352522917302835,-7.2287161811715679,15.963968472901851
0.0024889999999999999,0,0,0,0,0,-7.2834059847325197,-8.6646064990206693,-8.6646064990206693,-7.2834059847325197,15.948012483753189
0.00249,0,0,0,0,0,-7.3381310260160157,-8.5939414166023234,-8.5939414166023234,-7.3381310260160157,15.93207244261834
0.0024909999999999997,0,0,0,0,0,-7.3928888219583433,-8.5232595115989174,-8.5232595115989174,-7.3928888219583433,15.916148333557262
0.0024919999999999999,0,0,0,0,0,-7.4476768885251978,-8.4525632521206457,-8.4525632521206457,-7.4476768885251978,15.900240140645844
0.002493,0,0,0,0,0,-7.5024927408092816,-8.3818551071666079,-8.3818551071666079,-7.5024927408092816,15.88434784797589
0.0024939999999999997,0,0,0,0,0,-7.5573338931281739,-8.3111375465269361,-8.3111375465269361,-7.5573338931281739,15.86847143965511
0.0024949999999999998,0,0,0,0,0,-7.612197859122241,-8.2404130406848513,-8.2404130406848513,-7.612197859122241,15.852610899807091
0.002496,0,0,0,0,0,-7.6670821518522461,-8.1696840607190477,-8.1696840607190477,-7.6670821518522461,15.836766212571293
0.0024970000000000001,0,0,0,0,0,-7.7219842838974202,-8.0989530782056072,-8.0989530782056072,-7.7219842838974202,15.820937362103027
0.0024979999999999998,0,0,0,0,0,-7.7769017674531611,-8.0282225651202808,-8.0282225651202808,-7.7769017674531611,15.805124332573442
0.0024989999999999999,0,0,0,0,0,-7.831832114429143,-7.9574949937403625,-7.9574949937403625,-7.831832114429143,15.789327108169505
0.0025000000000000001,0,0,0,0,0,-7.8867728365469905,-7.8867728365470029,-7.8867728365470029,-7.8867728365469905,15.773545673093993
0.0025009999999999998,0,0,0,0,0,-7.9417214454382963,-7.8160585661271726,-7.8160585661271726,-7.9417214454382963,15.757780011565469
0.0025019999999999999,0,0,0,0,0,-7.9966754527426289,-7.7453546550756407,-7.7453546550756407,-7.9966754527426289,15.74203010781827
0.002503,0,0,0,0,0,-8.0516323702053079,-7.6746635758971804,-7.6746635758971804,-8.0516323702053079,15.726295946102489
0.0025039999999999997,0,0,0,0,0,-8.1065897097753172,-7.603987800908647,-7.603987800908647,-8.1065897097753172,15.710577510683965
0.0025049999999999998,0,0,0,0,0,-8.1615449837033882,-7.533329802140873,-7.533329802140873,-8.1615449837033882,15.694874785844261
0.002506,0,0,0,0,0,-8.2164957046396587,-7.4626920512409924,-7.4626920512409924,-8.2164957046396587,15.679187755880651
0.0025069999999999997,0,0,0,0,0,-8.2714393857316679,-7.3920770193744367,-7.3920770193744367,-8.2714393857316679,15.663516405106105
0.0025079999999999998,0,0,0,0,0,-8.3263735407223098,-7.3214871771269578,-7.3214871771269578,-8.3263735407223098,15.647860717849268
0.0025089999999999999,0,0,0,0,0,-8.3812956840474477,-7.2509249944070051,-7.2509249944070051,-8.3812956840474477,15.632220678454454
0.0025100000000000001,0,0,0,0,0,-8.4362033309339353,-7.1803929403476863,-7.1803929403476863,-8.4362033309339353,15.616596271281621
0.0025109999999999998,0,0,0,0,0,-8.4910939974972059,-7.1098934832091532,-7.1098934832091532,-8.4910939974972059,15.60098748070636
0.0025119999999999999,0,0,0,0,0,-8.5459652008392499,-7.0394290902806302,-7.0394290902806302,-8.5459652008392499,15.585394291119879
0.002513,0,0,0,0,0,-8.6008144591460489,-6.9690022277829407,-6.9690022277829407,-8.6008144591460489,15.56981668692899
0.0025139999999999997,0,0,0,0,0,-8.6556392917854481,-6.898615360770636,-6.898615360770636,-8.6556392917854481,15.554254652556084
0.0025149999999999999,0,0,0,0,0,-8.7104372194046782,-6.8282709530344494,-6.8282709530344494,-8.7104372194046782,15.538708172439128
0.002516,0,0,0,0,0,-8.7652057640279519,-6.757971467003685,-6.757971467003685,-8.7652057640279519,15.523177231031637
0.0025169999999999997,0,0,0,0,0,-8.8199424491538991,-6.6877193636487737,-6.6877193636487737,-8.8199424491538991,15.507661812802672
0.0025179999999999998,0,0,0,0,0,-8.8746447998532005,-6.6175171023836121,-6.6175171023836121,-8.8746447998532005,15.492161902236813
0.002519,0,0,0,0,0,-8.9293103428657616,-6.5473671409683849,-6.5473671409683849,-8.9293103428657616,15.476677483834147
0.0025199999999999997,0,0,0,0,0,-8.9839366066981388,-6.4772719354121149,-6.4772719354121149,-8.9839366066981388,15.461208542110253
0.0025209999999999998,0,0,0,0,0,-9.0385211217208852,-6.4072339398753044,-6.4072339398753044,-9.0385211217208852,15.44575506159619
0.0025219999999999999,0,0,0,0,0,-9.0930614202655971,-6.337255606572878,-6.337255606572878,-9.0930614202655971,15.430317026838475
0.0025230000000000001,0,0,0,0,0,-9.1475550367220517,-6.2673393856770225,-6.2673393856770225,-9.1475550367220517,15.414894422399074
0.0025239999999999998,0,0,0,0,0,-9.2019995076352323,-6.1974877252201477,-6.1974877252201477,-9.2019995076352323,15.39948723285538
0.0025249999999999999,0,0,0,0,0,-9.256392371802395,-6.1277030709978071,-6.1277030709978071,-9.256392371802395,15.384095442800202
0.002526,0,0,0,0,0,-9.3107311703696904,-6.0579878664720566,-6.0579878664720566,-9.3107311703696904,15.368719036841748
0.0025269999999999997,0,0,0,0,0,-9.3650134469291046,-5.9883445526745067,-5.9883445526745067,-9.3650134469291046,15.353357999603611
0.0025279999999999999,0,0,0,0,0,-9.4192367476151109,-5.918775568109643,-5.918775568109643,-9.4192367476151109,15.338012315724754
0.002529,0,0,0,0,0,-9.4733986212011061,-5.8492833486583855,-5.8492833486583855,-9.4733986212011061,15.322681969859492
0.0025299999999999997,0,0,0,0,0,-9.5274966191959507,-5.7798703274815253,-5.7798703274815253,-9.5274966191959507,15.307366946677476
0.0025309999999999998,0,0,0,0,0,-9.5815282959404229,-5.7105389349232585,-5.7105389349232585,-9.5815282959404229,15.292067230863681
0.002532,0,0,0,0,0,-9.6354912087032432,-5.6412915984151502,-5.6412915984151502,-9.6354912087032432,15.276782807118392
0.0025330000000000001,0,0,0,0,0,-9.6893829177773956,-5.5721307423797892,-5.5721307423797892,-9.6893829177773956,15.261513660157185
0.0025339999999999998,0,0,0,0,0,-9.7432009865759692,-5.5030587881349398,-5.5030587881349398,-9.7432009865759692,15.246259774710909
0.0025349999999999999,0,0,0,0,0,-9.7969429817282467,-5.4340781537974312,-5.4340781537974312,-9.7969429817282467,15.231021135525678
0.0025360000000000001,0,0,0,0,0,-9.8506064731752332,-5.3651912541876179,-5.3651912541876179,-9.8506064731752332,15.215797727362851
0.0025369999999999998,0,0,0,0,0,-9.9041890342653893,-5.2964005007336299,-5.2964005007336299,-9.9041890342653893,15.20058953499902
0.0025379999999999999,0,0,0,0,0,-9.9576882418502137,-5.2277083013757784,-5.2277083013757784,-9.9576882418502137,15.185396543225991
0.002539,0,0,0,0,0,-10.011101676379443,-5.1591170604713277,-5.1591170604713277,-10.011101676379443,15.170218736850771
0.0025399999999999997,0,0,0,0,0,-10.064426921996287,-5.090629178699265,-5.090629178699265,-10.064426921996287,15.155056100695552
0.0025409999999999999,0,0,0,0,0,-10.117661566632647,-5.0222470529650494,-5.0222470529650494,-10.117661566632647,15.139908619597696
0.002542,0,0,0,0,0,-10.170803202103819,-4.9539730763059016,-4.9539730763059016,-10.170803202103819,15.124776278409721
0.0025429999999999997,0,0,0,0,0,-10.223849424203367,-4.8858096377959175,-4.8858096377959175,-10.223849424203367,15.109659061999285
0.0025439999999999998,0,0,0,0,0,-10.276797832797802,-4.8177591224513669,-4.8177591224513669,-10.276797832797802,15.094556955249169
0.002545,0,0,0,0,0,-10.329646031920905,-4.749823911136362,-4.749823911136362,-10.329646031920905,15.079469943057267
0.0025460000000000001,0,0,0,0,0,-10.382391629868035,-4.6820063804685299,-4.6820063804685299,-10.382391629868035,15.064398010336566
0.0025469999999999998,0,0,0,0,0,-10.435032239290273,-4.6143089027248587,-4.6143089027248587,-10.435032239290273,15.04934114201513
0.0025479999999999999,0,0,0,0,0,-10.487565477288378,-4.5467338457477116,-4.5467338457477116,-10.487565477288378,15.034299323036089
0.0025490000000000001,0,0,0,0,0,-10.539988965506533,-4.4792835728510916,-4.4792835728510916,-10.539988965506533,15.019272538357624
0.0025499999999999997,0,0,0,0,0,-10.592300330225926,-4.4119604427270236,-4.4119604427270236,-10.592300330225926,15.00426077295295
0.0025509999999999999,0,0,0,0,0,-10.644497202458171,-4.3447668093521283,-4.3447668093521283,-10.644497202458171,14.989264011810299
0.002552,0,0,0,0,0,-10.696577218038518,-4.2777050218943895,-4.2777050218943895,-10.696577218038518,14.974282239932908
