time,Current: AM1-source,Current: AMD1,Current: AMD4,Current: AMD3,Current: AMD2,Voltage: VMD1,Voltage: VMD4,Voltage: VMD3,Voltage: VMD2,Voltage: VM1-C1
0.0014092999999999998,0.0,0.0,0.0,0.0,0.0,-3.137492296695359,-13.928195267800708,-13.92819526780071,-3.1374922966953545,17.065687564496066
0.0014093999999999999,0.0,0.0,0.0,0.0,0.0,-3.1419303296670495,-13.922050751396739,-13.92205075139674,-3.141930329667045,17.063981081063787
0.0014095,0.0,0.0,0.0,0.0,0.0,-3.1463705758690557,-13.915904192402264,-13.915904192402266,-3.1463705758690512,17.06227476827132
0.0014096,0.0,0.0,0.0,0.0,0.0,-3.1508130332030797,-13.90975559289852,-13.909755592898524,-3.1508130332030753,17.0605686261016
0.0014096999999999998,0.0,0.0,0.0,0.0,0.0,-3.1552576995700106,-13.903604954967554,-13.903604954967555,-3.155257699570006,17.058862654537563
0.0014098,0.0,0.0,0.0,0.0,0.0,-3.1597045728699085,-13.897452280692248,-13.89745228069225,-3.159704572869904,17.057156853562155
0.0014099,0.0,0.0,0.0,0.0,0.0,-3.1641536510019472,-13.891297572156368,-13.891297572156372,-3.164153651001943,17.055451223158315
0.00141,0.0,0.0,0.0,0.0,0.0,-3.1686049318645244,-13.885140831444465,-13.885140831444467,-3.16860493186452,17.05374576330899
0.0014100999999999999,0.0,0.0,0.0,0.0,0.0,-3.173058413355144,-13.878982060641977,-13.878982060641981,-3.1730584133551396,17.05204047399712
0.0014102,0.0,0.0,0.0,0.0,0.0,-3.1775140933705197,-13.872821261835139,-13.872821261835142,-3.1775140933705153,17.050335355205657
0.0014103,0.0,0.0,0.0,0.0,0.0,-3.1819719698065327,-13.866658437111017,-13.86665843711102,-3.1819719698065283,17.04863040691755
0.0014104,0.0,0.0,0.0,0.0,0.0,-3.1864320405582003,-13.860493588557546,-13.860493588557548,-3.186432040558196,17.046925629115744
0.0014104999999999999,0.0,0.0,0.0,0.0,0.0,-3.1908943035197064,-13.85432671826349,-13.854326718263493,-3.190894303519702,17.045221021783195
0.0014106,0.0,0.0,0.0,0.0,0.0,-3.1953587565844392,-13.848157828318419,-13.84815782831842,-3.195358756584435,17.043516584902857
0.0014107,0.0,0.0,0.0,0.0,0.0,-3.199825397644955,-13.841986920812733,-13.841986920812737,-3.1998253976449504,17.041812318457687
0.0014108,0.0,0.0,0.0,0.0,0.0,-3.20429422459293,-13.835813997837711,-13.835813997837713,-3.2042942245929256,17.04010822243064
0.0014108999999999999,0.0,0.0,0.0,0.0,0.0,-3.208765235319266,-13.829639061485409,-13.829639061485413,-3.2087652353192615,17.038404296804675
0.001411,0.0,0.0,0.0,0.0,0.0,-3.213238427714031,-13.823462113848725,-13.823462113848727,-3.2132384277140265,17.036700541562755
0.0014111,0.0,0.0,0.0,0.0,0.0,-3.217713799666422,-13.817283157021421,-13.817283157021423,-3.2177137996664174,17.03499695668784
0.0014112,0.0,0.0,0.0,0.0,0.0,-3.2221913490648717,-13.811102193098023,-13.811102193098026,-3.2221913490648673,17.033293542162895
0.0014112999999999999,0.0,0.0,0.0,0.0,0.0,-3.226671073796928,-13.80491922417396,-13.804919224173961,-3.2266710737969237,17.031590297970887
0.0014114,0.0,0.0,0.0,0.0,0.0,-3.2311529717493723,-13.798734252345412,-13.798734252345414,-3.231152971749368,17.029887224094782
0.0014115,0.0,0.0,0.0,0.0,0.0,-3.235637040808103,-13.792547279709447,-13.79254727970945,-3.2356370408080988,17.02818432051755
0.0014115999999999998,0.0,0.0,0.0,0.0,0.0,-3.240123278858243,-13.78635830836392,-13.786358308363923,-3.2401232788582384,17.02648158722216
0.0014116999999999999,0.0,0.0,0.0,0.0,0.0,-3.244611683784089,-13.7801673404075,-13.780167340407502,-3.2446116837840844,17.024779024191588
0.0014118,0.0,0.0,0.0,0.0,0.0,-3.2491022534690774,-13.77397437793973,-13.773974377939732,-3.249102253469073,17.023076631408806
0.0014119,0.0,0.0,0.0,0.0,0.0,-3.25359498579588,-13.767779423060912,-13.767779423060913,-3.2535949857958757,17.02137440885679
0.0014119999999999998,0.0,0.0,0.0,0.0,0.0,-3.2580898786462926,-13.761582477872228,-13.761582477872231,-3.258089878646288,17.01967235651852
0.0014121,0.0,0.0,0.0,0.0,0.0,-3.2625869299013344,-13.75538354447564,-13.755383544475642,-3.26258692990133,17.017970474376973
0.0014122,0.0,0.0,0.0,0.0,0.0,-3.2670861374412086,-13.749182624973923,-13.749182624973926,-3.267086137441204,17.01626876241513
0.0014123,0.0,0.0,0.0,0.0,0.0,-3.271587499145271,-13.742979721470707,-13.742979721470709,-3.2715874991452667,17.014567220615977
0.0014123999999999999,0.0,0.0,0.0,0.0,0.0,-3.2760910128920466,-13.736774836070449,-13.736774836070452,-3.276091012892042,17.012865848962495
0.0014125,0.0,0.0,0.0,0.0,0.0,-3.2805966765593357,-13.730567970878337,-13.730567970878338,-3.2805966765593313,17.01116464743767
0.0014126,0.0,0.0,0.0,0.0,0.0,-3.285104488024033,-13.724359128000462,-13.724359128000465,-3.2851044880240288,17.009463616024494
0.0014127,0.0,0.0,0.0,0.0,0.0,-3.289614445162238,-13.718148309543718,-13.71814830954372,-3.2896144451622336,17.007762754705954
0.0014127999999999999,0.0,0.0,0.0,0.0,0.0,-3.294126545849262,-13.71193551761578,-13.711935517615782,-3.2941265458492577,17.00606206346504
0.0014129,0.0,0.0,0.0,0.0,0.0,-3.298640787959612,-13.70572075432514,-13.705720754325142,-3.2986407879596076,17.00436154228475
0.001413,0.0,0.0,0.0,0.0,0.0,-3.303157169366931,-13.699504021781149,-13.699504021781152,-3.3031571693669264,17.00266119114808
0.0014131,0.0,0.0,0.0,0.0,0.0,-3.3076756879441165,-13.6932853220939,-13.693285322093903,-3.307675687944112,17.000961010038015
0.0014131999999999999,0.0,0.0,0.0,0.0,0.0,-3.3121963415631965,-13.68706465737437,-13.687064657374371,-3.312196341563192,16.999260998937565
0.0014133,0.0,0.0,0.0,0.0,0.0,-3.316719128095449,-13.680842029734277,-13.68084202973428,-3.3167191280954444,16.997561157829725
0.0014134,0.0,0.0,0.0,0.0,0.0,-3.3212440454112846,-13.674617441286212,-13.674617441286216,-3.32124404541128,16.995861486697496
0.0014135,0.0,0.0,0.0,0.0,0.0,-3.3257710913803686,-13.668390894143513,-13.668390894143517,-3.325771091380364,16.99416198552388
0.0014135999999999999,0.0,0.0,0.0,0.0,0.0,-3.330300263871499,-13.66216239042039,-13.662162390420391,-3.3303002638714947,16.992462654291888
0.0014137,0.0,0.0,0.0,0.0,0.0,-3.334831560752714,-13.655931932231807,-13.655931932231809,-3.3348315607527095,16.99076349298452
0.0014138,0.0,0.0,0.0,0.0,0.0,-3.339364979891248,-13.649699521693542,-13.649699521693545,-3.3393649798912435,16.98906450158479
0.0014138999999999998,0.0,0.0,0.0,0.0,0.0,-3.343900519153487,-13.643465160922219,-13.643465160922222,-3.3439005191534825,16.987365680075705
