time,Vo,Io,VC1,ILr
9.895506320143055e-06,4.998590663621388,19.994362654485553,-169.80943725523312,-2.5763715956216986
9.999999999999884e-06,5.005457924650025,20.0218316986001,-177.5063846063521,-6.26188800197011
9.999999999999992e-06,5.0054579246500355,20.021831698600142,-177.50638460636333,-6.261888001973849
1.0000000000000104e-05,5.005457924650046,20.021831698600185,-177.5063846063751,-6.261888001977744
1.0067170410435964e-05,5.008170762214268,20.032683048857074,-181.006908979635,-1.138533711753098e-13
1.0067170410436073e-05,5.008170762214267,20.032683048857066,-181.00690897963506,9.94704318912909e-12
1.0068272621952263e-05,5.008149654141338,20.032598616565352,-181.00586230767337,0.10271201102647343
1.0068272621952378e-05,5.008149654141334,20.032598616565338,-181.00586230767314,0.10271201103720734
1.0069374833468568e-05,5.0081283789742015,20.032513515896806,-181.00323116314777,0.18374529425111316
1.0074885891049517e-05,5.008046146202219,20.032184584808878,-180.9677517234553,0.5887789272067915
1.0102441178954264e-05,5.008237538473249,20.032950153892997,-180.23310948147198,2.609855242147502
1.0240217618477998e-05,5.024042108616993,20.096168434467973,-162.8234339129099,12.518007549847349
1.0377994058001733e-05,5.063750720089711,20.255002880358845,-123.2604691273142,21.87715830678332
1.0515770497525467e-05,5.125514827840473,20.502059311361894,-63.1649550227799,30.376178887565615
1.0684993744305592e-05,5.227642196857992,20.910568787431966,35.22869012716021,39.22687677542663
1.0854216991085717e-05,5.353241735592654,21.412966942370616,155.61339891994504,45.93974556241956
1.1023440237865842e-05,5.495028819430449,21.980115277721797,291.50926097300913,50.206047302229464
1.1192663484645966e-05,5.645039845867804,22.580159383471216,435.74658620616185,51.84633420668553
1.1361886731426091e-05,5.794982765537524,23.179931062150096,580.8423734515962,50.81813378417961
1.1531109978206216e-05,5.936661696955494,23.746646787821977,719.3875429013211,47.215981867880195
1.1700333224986341e-05,6.062394459872775,24.2495778394911,844.4243375716236,41.264447539621
1.1869556471766466e-05,6.165397201487166,24.661588805948664,949.7947569721349,33.30462350107922
1.203877971854659e-05,6.240117110848115,24.96046844339246,1030.442673672979,23.77487420560926
1.2208002965326715e-05,6.282497030369597,25.129988121478387,1082.6549213127907,13.186915301822847
1.2347917117104233e-05,6.291420558106136,25.165682232424544,1102.7352425282234,4.0306332923072326
1.2347917117104342e-05,6.291420558106134,25.165682232424537,1102.7352425282306,4.030633292300093
1.2445259845087008e-05,6.292263647474784,25.169054589899137,1106.0048442750372,4.707345624410664e-14
1.2445259845087117e-05,6.292263647474788,25.16905458989915,1106.004844275037,-4.4213521732672234e-12
1.2542602573069783e-05,6.300164660602368,25.200658642409472,1102.7542601654836,-4.001351766028364
1.2731057921999378e-05,6.334436704055901,25.337746816223603,1078.475347219401,-11.40375921710777
1.2919513270928973e-05,6.391818173739109,25.567272694956436,1032.1741665716281,-17.98686865028891
1.3107968619858568e-05,6.46866768450739,25.87467073802956,967.0704007095995,-23.34543400867694
1.3296423968788163e-05,6.560122435026664,26.240489740106657,887.5293389379649,-27.157116726453122
1.3530405769623457e-05,6.6850974017237546,26.740389606895018,776.7420341715714,-29.4154212242331
1.376438757045875e-05,6.811499784631419,27.245999138525676,662.764878087058,-28.79247715286078
1.3998369371294045e-05,6.927073365417993,27.70829346167197,556.667629090398,-25.39741215373039
1.4232351172129338e-05,7.020696264567023,28.08278505826809,468.56942114101196,-19.605998727526135
