time,V_D2,VS1,VS2,Vp,Vo,Io,VC1,I_D2,ILr,I_D1,V_D1
1.1040239793074792e-05,-1.858913854891692,0.7680204361619394,-1.3071739105719926,-31.70079384191986,0.5517399443196992,216.28049184224022,234.29794220282554,0.0,-12.839766447454307,216.28049184224022,0.21628049184224024
1.1299518763706273e-05,-1.626039827763668,0.8348240637295749,-1.0171749588467542,-20.60140333199884,0.6088648689169137,225.95919481266117,92.14875560832714,0.0,-13.42737321926931,225.95919481266117,0.22595919481266116
1.1558797734337753e-05,-1.378437311949364,0.8931780893411004,-0.7112217828098443,-9.099255891860818,0.66721552913952,225.96256020158046,-53.25443696335062,0.0,-13.44132266094836,225.96256020158046,0.22596256020158045
1.1818076704969234e-05,-1.1266420094901668,0.9405776378445305,-0.40236234893184153,2.314838420351869,0.7242796605583252,216.29797728620537,-195.70434363788107,0.0,-12.881899110388868,216.29797728620537,0.21629797728620537
1.2077355675600715e-05,-0.881348678444712,0.9749871126571896,-0.10374682562552295,13.15460706040733,0.7776018528191891,197.3852598380005,-329.12917332347433,0.0,-11.773846162110233,197.3852598380005,0.1973852598380005
1.2336634646232196e-05,-0.6529546654909436,0.9949263194708662,0.17193354648371273,22.959052056175885,0.8248882119746564,170.0381074962098,-447.8514470371966,0.0,-10.165273750410595,170.0381074962098,0.1700381074962098
1.2595913616863677e-05,-0.451116823591984,0.9995327654134217,0.41298714925492874,31.31207718317456,0.8641039728469128,135.428792566509,-546.8295927015873,0.0,-8.12557011047532,135.428792566509,0.135428792566509
1.2855192587495157e-05,-0.2843406958606627,0.9885975124293824,0.6092192122568102,37.86016967151228,0.8935599081174729,95.03760431190959,-621.8720434497156,0.0,-5.742409212210925,95.03760431190959,0.0950376043119096
1.3114471558126638e-05,-0.15961944145471918,0.9625730958058768,0.7523644236541385,42.32738512734805,0.9119838651088575,50.58923069701927,-669.8147481652263,0.0,-3.1179827096658084,50.58923069701927,0.05058923069701927
1.3373750528758119e-05,-0.08213783067215785,0.922553212727113,0.8364365705997772,44.52700054294133,0.9185744012719349,3.9788114551780653,-688.6545776835605,0.0,-0.36461833336154925,3.9788114551780653,0.003978811455178065
1.3395586567639027e-05,-0.07787384050702628,0.9185746258002113,0.8407007852931849,44.60515679104196,0.9185746258002113,3.730349362740526e-14,-688.8760410054588,0.0,-0.12953619193141203,3.730349362740526e-14,3.730349362740526e-17
1.3395586567639136e-05,0.0,-2.5826235316180366,0.918574625800211,72.89881715166234,0.918574625800211,0.0,-688.8760410054592,0.0,-0.12953619193024593,0.0,-3.5011981574182274
1.3395586567639244e-05,1.87064942088317e-14,-2.5826235316180552,0.9185746258002293,72.89881715166267,0.9185746258002107,1.87064942088317e-11,-688.8760410054598,1.87064942088317e-11,-0.12953619192912877,0.0,-3.5011981574182656
1.3408165520255718e-05,0.0021690309240433104,-2.584717271701744,0.9207342534855137,72.9336580425086,0.9185652225614704,2.16903092404331,-688.907529959697,2.16903092404331,-1.1090572904493001e-12,0.0,-3.503282494263215
1.3408165520255826e-05,0.0021690309240619938,-2.584717271701761,0.9207342534855324,72.93365804250885,0.9185652225614704,2.169030924061994,-688.9075299596968,2.169030924061994,6.744604874597826e-15,0.0,-3.5032824942632317
1.34207444728723e-05,0.004331222640347818,-2.5866992448897586,0.92291325629206,72.964330411201,0.9185820336517122,4.331222640347818,-688.8736890419249,4.331222640347818,0.1291322336588548,0.0,-3.505281278541471
