"Time / s","Vc:Measured voltage","AMLr:Measured current","VD1:Measured voltage","VD2:Measured voltage","VD3:Measured voltage","VD4:Measured voltage","Vmout:Measured voltage","Am1:Measured current","Am2:Measured current","Am3:Measured current","Am4:Measured current","AMIo:Measured current"
0.00090700000000000004,121.2564697265625,-33.273941040039063,-55.281772613525391,0,0,-55.281772613525391,55.281772613525391,0,462.70428466796875,462.70428466796875,0,221.12709045410156
0.00090733333333333334,-29.075843811035156,-19.949527740478516,-55.310054779052734,0,0,-55.310054779052734,55.310054779052734,0,132.95387268066406,132.95387268066406,0,221.24021911621094
0.00090766666666666676,-93.223556518554688,-15.686359405517578,-39.840553283691406,-15.374532699584961,-15.374532699584961,-39.840553283691406,55.215084075927734,0,0,0,0,220.86033630371094
0.00090800000000000006,-185.75216674804688,-17.561214447021484,-37.569084167480469,-17.572429656982422,-17.572429656982422,-37.569084167480469,55.141513824462891,0,0,0,0,220.56605529785156
0.00090833333333333337,-287.61441040039063,-19.040149688720703,-35.072391510009766,-19.995647430419922,-19.995647430419922,-35.072391510009766,55.068038940429688,0,0,0,0,220.27215576171875
0.00090866666666666667,-396.513916015625,-20.089851379394531,-32.405925750732422,-22.588741302490234,-22.588741302490234,-32.405925750732422,54.994663238525391,0,0,0,0,219.97865295410156
0.00090900000000000009,-509.99569702148438,-20.686668395996094,-29.628971099853516,-25.292411804199219,-25.292411804199219,-29.628971099853516,54.92138671875,0,0,0,0,219.685546875
0.00090933333333333339,-625.50164794921875,-20.817174911499023,-26.803304672241211,-28.044902801513672,-28.044902801513672,-26.803304672241211,54.84820556640625,0,0,0,0,219.392822265625
0.0009096666666666667,-740.42803955078125,-20.47844123840332,-23.991794586181641,-30.783329010009766,-30.783329010009766,-23.991794586181641,54.775123596191406,0,0,0,0,219.10049438476563
0.00091,-852.18450927734375,-19.678125381469727,0,-54.702136993408203,-54.702136993408203,0,54.702136993408203,0,0,0,0,218.80854797363281
0.00091033333333333342,-914.27276611328125,-2.301849365234375,0,-54.667144775390625,-54.667144775390625,0,54.667144775390625,234.27227783203125,0,0,234.27227783203125,218.6685791015625
0.00091066666666666672,-876.94378662109375,15.511978149414063,0,-54.713409423828125,-54.713409423828125,0,54.713409423828125,476.56109619140625,0,0,476.56109619140625,218.8536376953125
0.00091100000000000003,-747.6485595703125,30.251327514648438,0,-54.832607269287109,-54.832607269287109,0,54.832607269287109,662.3331298828125,0,0,662.3331298828125,219.33042907714844
0.00091133333333333344,-551.95892333984375,39.014694213867188,0,-54.996452331542969,-54.996452331542969,0,54.996452331542969,738.281982421875,0,0,738.281982421875,219.98580932617188
0.00091166666666666674,-328.49301147460938,40.0859375,0,-55.162334442138672,-55.162334442138672,0,55.162334442138672,672.89581298828125,0,0,672.89581298828125,220.64933776855469
0.00091200000000000005,-121.257568359375,33.273872375488281,0,-55.281776428222656,-55.281776428222656,0,55.281776428222656,462.70184326171875,0,0,462.70184326171875,221.12710571289063
0.00091233333333333336,29.074470520019531,19.949506759643555,0,-55.310054779052734,-55.310054779052734,0,55.310054779052734,132.95222473144531,0,0,132.95222473144531,221.24021911621094
0.00091266666666666677,93.222213745117188,15.686435699462891,-15.374500274658203,-39.840583801269531,-39.840583801269531,-15.374500274658203,55.215084075927734,0,0,0,0,220.86033630371094
0.00091300000000000007,185.75125122070313,17.561294555664063,-17.572406768798828,-37.569107055664063,-37.569107055664063,-17.572406768798828,55.141513824462891,0,0,0,0,220.56605529785156
0.00091333333333333338,287.61398315429688,19.040233612060547,-19.995635986328125,-35.072402954101563,-35.072402954101563,-19.995635986328125,55.068038940429688,0,0,0,0,220.27215576171875
0.00091366666666666669,396.51394653320313,20.089933395385742,-22.588741302490234,-32.405921936035156,-32.405921936035156,-22.588741302490234,54.994663238525391,0,0,0,0,219.97865295410156
0.0009140000000000001,509.99618530273438,20.686752319335938,-25.292423248291016,-29.628959655761719,-29.628959655761719,-25.292423248291016,54.92138671875,0,0,0,0,219.685546875
0.0009143333333333334,625.5025634765625,20.817253112792969,-28.044925689697266,-26.80328369140625,-26.80328369140625,-28.044925689697266,54.84820556640625,0,0,0,0,219.392822265625
0.00091466666666666671,740.42938232421875,20.478515625,-30.783359527587891,-23.99176025390625,-23.99176025390625,-30.783359527587891,54.775123596191406,0,0,0,0,219.10049438476563
0.00091500000000000001,852.18621826171875,19.678192138671875,-54.702136993408203,0,0,-54.702136993408203,54.702136993408203,0,0,0,0,218.80854797363281
0.00091533333333333343,914.27471923828125,2.3018379211425781,-54.667144775390625,0,0,-54.667144775390625,54.667144775390625,0,234.27342224121094,234.27342224121094,0,218.6685791015625
0.00091566666666666673,876.94549560546875,-15.512054443359375,-54.713413238525391,0,0,-54.713413238525391,54.713413238525391,0,476.56344604492188,476.56344604492188,0,218.85365295410156
0.00091600000000000004,747.64971923828125,-30.251449584960938,-54.832611083984375,0,0,-54.832611083984375,54.832611083984375,0,662.33636474609375,662.33636474609375,0,219.3304443359375
0.00091633333333333334,551.959228515625,-39.01483154296875,-54.996456146240234,0,0,-54.996456146240234,54.996456146240234,0,738.28564453125,738.28564453125,0,219.98582458496094
0.00091666666666666676,328.49240112304688,-40.086074829101563,-55.162338256835938,0,0,-55.162338256835938,55.162338256835938,0,672.8992919921875,672.8992919921875,0,220.64935302734375
0.00091700000000000006,121.25634765625,-33.273956298828125,-55.281784057617188,0,0,-55.281784057617188,55.281784057617188,0,462.7047119140625,462.7047119140625,0,221.12713623046875
0.00091733333333333337,-29.075965881347656,-19.949518203735352,-55.310066223144531,0,0,-55.310066223144531,55.310066223144531,0,132.95405578613281,132.95405578613281,0,221.24026489257813
0.00091766666666666667,-93.223617553710938,-15.686368942260742,-39.840553283691406,-15.374540328979492,-15.374540328979492,-39.840553283691406,55.215095520019531,0,0,0,0,220.86038208007813
0.00091800000000000009,-185.75227355957031,-17.561223983764648,-37.569091796875,-17.572437286376953,-17.572437286376953,-37.569091796875,55.141525268554688,0,0,0,0,220.56610107421875
0.00091833333333333339,-287.61459350585938,-19.0401611328125,-35.072395324707031,-19.995658874511719,-19.995658874511719,-35.072395324707031,55.068050384521484,0,0,0,0,220.27220153808594
0.0009186666666666667,-396.51412963867188,-20.08985710144043,-32.405925750732422,-22.588748931884766,-22.588748931884766,-32.405925750732422,54.994674682617188,0,0,0,0,219.97869873046875
0.000919,-509.99594116210938,-20.686674118041992,-29.628971099853516,-25.292423248291016,-25.292423248291016,-29.628971099853516,54.921398162841797,0,0,0,0,219.68559265136719
0.00091933333333333342,-625.50189208984375,-20.817176818847656,-26.803304672241211,-28.044914245605469,-28.044914245605469,-26.803304672241211,54.848217010498047,0,0,0,0,219.39286804199219
0.00091966666666666672,-740.42828369140625,-20.478443145751953,-23.991794586181641,-30.783340454101563,-30.783340454101563,-23.991794586181641,54.775135040283203,0,0,0,0,219.10054016113281
0.00092000000000000003,-852.18475341796875,-19.678127288818359,0,-54.7021484375,-54.7021484375,0,54.7021484375,0,0,0,0,218.80859375
0.00092033333333333344,-914.27313232421875,-2.301849365234375,0,-54.667156219482422,-54.667156219482422,0,54.667156219482422,234.27227783203125,0,0,234.27227783203125,218.66862487792969
0.00092066666666666675,-876.944091796875,15.511993408203125,0,-54.713420867919922,-54.713420867919922,0,54.713420867919922,476.5611572265625,0,0,476.5611572265625,218.85368347167969
0.00092100000000000005,-747.6488037109375,30.251327514648438,0,-54.832618713378906,-54.832618713378906,0,54.832618713378906,662.33319091796875,0,0,662.33319091796875,219.33047485351563
0.00092133333333333336,-551.95916748046875,39.014694213867188,0,-54.996463775634766,-54.996463775634766,0,54.996463775634766,738.281982421875,0,0,738.281982421875,219.98585510253906
0.00092166666666666677,-328.49325561523438,40.0859375,0,-55.162345886230469,-55.162345886230469,0,55.162345886230469,672.89581298828125,0,0,672.89581298828125,220.64938354492188
0.00092200000000000008,-121.2578125,33.273872375488281,0,-55.281787872314453,-55.281787872314453,0,55.281787872314453,462.70184326171875,0,0,462.70184326171875,221.12715148925781
0.00092233333333333338,29.074226379394531,19.949520111083984,0,-55.310066223144531,-55.310066223144531,0,55.310066223144531,132.95216369628906,0,0,132.95216369628906,221.24026489257813
0.00092266666666666669,93.2220458984375,15.686469078063965,-15.374502182006836,-39.840591430664063,-39.840591430664063,-15.374502182006836,55.215095520019531,0,0,0,0,220.86038208007813
0.0009230000000000001,185.75128173828125,17.561328887939453,-17.572414398193359,-37.569114685058594,-37.569114685058594,-17.572414398193359,55.141525268554688,0,0,0,0,220.56610107421875
0.00092333333333333341,287.61416625976563,19.040267944335938,-19.995647430419922,-35.072402954101563,-35.072402954101563,-19.995647430419922,55.068050384521484,0,0,0,0,220.27220153808594
0.00092366666666666671,396.51431274414063,20.089967727661133,-22.588756561279297,-32.405921936035156,-32.405921936035156,-22.588756561279297,54.994674682617188,0,0,0,0,219.97869873046875
0.00092400000000000002,509.99673461914063,20.686782836914063,-25.292442321777344,-29.628952026367188,-29.628952026367188,-25.292442321777344,54.921398162841797,0,0,0,0,219.68559265136719
