time,V_D2,VS1,VS2,Vp,VSW2,VL1,Vo,Io,VC1,I_D2,VSW1,ILr,I_D1,V_D1
0.0021550000000000163,-36.912788120546665,1.826325395841856,-1.826325395841856,-31.376310641533905,999.5624120810824,-6.723495137471588,35.0864627247048,0.0,1037.6622178600878,0.0,0.4375879189176935,4.375879189176935,0.0,-33.260137328862946
0.002155000000000044,-70.93250795582955,35.08646272470277,-35.84604523112678,-628.8585117646871,0.0,-408.8037061005143,35.08646272470277,0.0,1037.6622178652015,0.0,1000.0,4.375879189173707,0.0,0.0
0.002155000000000072,-70.93250795584031,35.08646272470294,-35.846045231139584,-628.8585117651239,0.0,-408.80370610516786,35.08646272470073,2.2124960476754293e-09,1037.662217870292,0.0,1000.0,4.37587918898255,2.2124960476754293e-09,2.2124960476754293e-12
0.002155429494110314,-71.0474627576709,35.09962933621325,-35.98458405414395,-633.3880557873542,0.0,-455.0071215951043,35.06287870352694,36.75063268630789,1088.3951773824585,0.0,1000.0,1.2683517730404987,36.75063268630789,0.03675063268630789
0.002155595850249553,-71.06362470704163,35.11019063812239,-36.00550671109208,-633.9251477558474,0.0,-458.86046607592755,35.058117995949544,52.07264217284503,1092.785613831775,0.0,1000.0,2.7755575615628914e-15,52.07264217284503,0.05207264217284503
0.0021555958502495805,-71.06362470704285,35.11019063812434,-36.00550671109389,-633.9251477558762,2.1063195632109457e-11,-458.86046607588366,35.058117995948955,52.072642175384686,1092.785613831781,0.0,999.999999999979,-2.1063195632109455e-10,52.072642175384686,0.05207264217538469
0.0021560253443598226,-71.02617863417123,35.14783679121206,-35.96875894740978,-632.0183737969068,0.32031484833234275,-431.611433590567,35.05741968676145,90.41710445060605,1063.9501222358062,0.0,999.6796851516676,-3.203148483323427,90.41710445060605,0.09041710445060605
0.0021564548384700646,-70.87769573134935,35.19436020834692,-35.80576301323412,-625.6259953568647,0.6031211228546973,-354.6495546584855,35.07193271811522,122.42749023170222,980.8786711382049,0.0,999.3968788771454,-6.031211228546972,122.42749023170222,0.12242749023170223
0.0021568843325803066,-70.62944512502892,35.24035468027474,-35.53171762286537,-615.4309658151642,0.8159022241992109,-236.9983394502567,35.09772750216356,142.62717811118475,853.2452074896202,0.0,999.1840977758008,-8.159022241992108,142.62717811118475,0.14262717811118475
0.0021573138266905486,-70.30267214503543,35.275733898188896,-35.17385893768209,-602.5410781466279,0.9343188760863858,-92.36067436805683,35.128813207353346,146.92069083554884,695.8360713907712,0.0,999.0656811239136,-9.343188760863857,146.92069083554884,0.14692069083554885
0.0021577433208007906,-69.92612050337495,35.29090088058567,-34.7682834228096,-588.359861752674,0.9450010044655452,62.477033612780076,35.15783708056534,133.06380002032157,526.8278291443595,0.0,999.0549989955344,-9.450010044655452,133.06380002032157,0.13306380002032156
0.0021581728149110326,-69.53269453050576,35.27785795954591,-34.35575502175528,-574.4236355703108,0.8470645992252894,209.592965343654,35.17693950875049,100.91845079541915,365.67773482588217,0.0,999.1529354007747,-8.470645992252894,100.91845079541915,0.10091845079541915
0.0021586023090212746,-69.15564946364279,35.23112919071,-33.97698387290211,-562.2236380096865,0.6521815450460817,332.00418182626896,35.17866559074068,52.46359996932197,230.87163772846358,0.0,999.3478184549539,-6.521815450460817,52.46359996932197,0.05246359996932197
0.0021589761007368073,-68.86421010150747,35.161154831768414,-33.70305526973904,-554.0208448491504,0.4213037336529977,407.3461824929369,35.161154831768414,1.4868106745780096e-12,147.0959660898665,0.0,999.578696266347,-4.213037336529977,1.4868106745780096e-12,1.4868106745780096e-15
0.002158976100736835,-42.192047911186805,7.030893079420443,-7.030893079420443,-120.7908984070269,0.42130373363424933,-25.883763944362915,35.16115483176636,0.0,147.09596608502406,0.0,999.5786962663658,-4.213037336342493,0.0,-28.130261752341752
0.002159405594847077,-38.48396863289885,3.3542598224014335,-3.3542598224014335,-57.626257839759575,0.4349262413331927,-12.348483822805626,35.12970881049742,0.0,70.4096679038984,0.0,999.5650737586668,-4.349262413331926,0.0,-31.775448988095985
0.00215999999999999,-33.26002128433043,-1.8262201295654361,1.8262201295654361,31.374502164579837,0.4377304369652868,6.723107606695681,35.08624141389586,0.0,-37.65987933431023,0.0,999.5622695630348,-4.377304369652868,0.0,-36.9124615434613
0.002160000000000018,-33.26002128408793,-1.8262201298059109,1.8262201298059109,31.3745021687112,0.43773043696499575,6.723107607580973,35.08624141389384,0.0,-37.659879339327176,0.0,999.562269563035,-4.377304369649957,0.0,-36.91246154369975
0.0021600000000000456,0.0,-35.845829581252026,35.08624141389181,628.8549039490009,1000.0,408.80497539543455,35.08624141389181,0.0,-37.659879344435396,0.0,0.0,-4.377304369646751,0.0,-70.93207099514385
0.0021600000000000733,2.211393427466016e-12,-35.84582958126484,35.086241413891976,628.8549039494377,1000.0,408.8049754000891,35.086241413889766,2.211393427466016e-09,-37.659879349526754,2.211393427466016e-09,0.0,-4.377304369455659,0.0,-70.93207099515459
0.002160422723936698,0.036145284055881986,-35.98319842558056,35.09904899900934,633.3504443396547,1000.0,454.7085224793153,35.06290371495346,36.14528405588199,-88.0589668189699,36.14528405588199,0.0,-1.3203218654713529,0.0,-71.04610214053402
0.002160595995706761,0.052091643908465456,-36.00540119996143,35.109985647481494,633.9250405988375,1000.0,458.89633413477276,35.057894003573026,52.09164390846546,-92.82137473361023,52.09164390846546,0.0,-2.1031715258246209e-10,0.0,-71.06329520353445
0.0021605959957067887,0.052091643911004494,-36.00540119996329,35.109985647483434,633.9250405988679,1000.0,458.8963341347476,35.05789400357243,52.091643911004496,-92.82137473361566,52.091643911004496,2.8055335832277708e-14,2.8055335832277706e-13,0.0,-71.06329520353572
0.0021610187196434132,0.0898766975061648,-35.970234341231844,35.14697081535636,632.0838627097218,999.6844692669908,432.47020518924154,35.0570941178502,89.87669750616479,-64.8695986319725,89.87669750616479,0.31553073300912726,3.155307330091272,0.0,-71.02732845908204
0.0021614414435800378,0.12161240564983457,-35.81256379001309,35.19269730931359,625.8879383490595,999.4047599920634,357.75927860816216,35.07108490366375,121.61240564983457,15.757543034841657,121.61240564983457,0.5952400079365842,5.952400079365841,0.0,-70.88364869367683
0.0021618641675166623,0.1420478270006507,-35.546598685659745,35.23821634014196,615.9784119701305,999.1920481788709,243.25604696989092,35.09616851314131,142.0478270006507,139.9575892388495,142.0478270006507,0.8079518211290552,8.079518211290551,0.0,-70.64276719880105
0.002162286891453287,0.14721314404555372,-35.197932547590284,35.273906182859044,603.3987285884108,999.0699249351532,101.88934589268945,35.12669303881349,147.21314404555372,293.78185045405286,147.21314404555372,0.9300750648468189,9.300750648468188,0.0,-70.32462558640377
0.0021627096153899114,0.13486145775273425,-34.80064881362572,35.29055358492781,589.4767425619102,999.0517728474094,-50.435354811431694,35.15569212717507,134.86145775273425,460.0103850969308,134.86145775273425,0.9482271525906167,9.482271525906167,0.0,-69.95634094080079
0.002163132339326536,0.10471643811439603,-34.393482736353505,35.2803867921267,575.6752658021059,999.1392926956021,-196.62542196044944,35.175670354012304,104.71643811439603,620.0894488539457,104.71643811439603,0.8607073043978822,8.607073043978822,0.0,-69.56915309036582
0.0021635550632631605,0.058498579817555525,-34.01547202227254,35.237944584012986,563.4278788584205,999.3223426354648,-320.3189775065463,35.179446004195434,58.49857981755552,756.2134412835906,58.49857981755552,0.6776573645351696,6.776573645351695,0.0,-69.19491802646797
0.0021639759799932964,2.518346864377463e-12,-33.70275235423383,35.16108933608596,554.0115703097335,999.5788770263969,-407.4338281351951,35.16108933608344,2.518346864377463e-09,853.0011348518583,2.518346864377463e-09,0.421122973603185,4.21122973603185,0.0,-68.86384169031727
0.0021639759799933302,-28.1348421541246,-7.026247181953785,7.026247181953785,120.71108178592829,999.5788770264198,25.86666038269894,35.16108933608096,0.0,853.0011348577925,0.0,0.42112297358021894,4.211229735802189,0.0,-42.18733651803475
0.002164398703929955,-31.720736174252778,-3.4093987011351743,3.4093987011351743,58.57354499434609,999.5653170839812,12.551473927359837,35.13013487538795,0.0,928.4402981622753,0.0,0.4346829160188125,4.346829160188125,0.0,-38.53953357652313
0.002165000000000019,-36.91475695950474,1.8286083860510445,-1.8286083860510445,-31.415532463755767,999.562426037747,-6.7318998136619825,35.08614857345369,0.0,1037.7098583151646,0.0,0.43757396225306194,4.375739622530619,0.0,-33.25754018740265
0.0021650000000000467,-36.91475695974252,1.8286083862908669,-1.8286083862908669,-31.41553246787589,999.5624260377472,-6.7318998145448745,35.08614857345166,0.0,1037.709858320168,0.0,0.43757396225277445,4.375739622527744,0.0,-33.25754018716079
0.0021650000000000744,-70.93201430783537,35.086148573449634,-35.84586573438574,-628.8577365911046,0.0,-408.852121734177,35.086148573449634,0.0,1037.7098583252816,0.0,1000.0,4.375739622524513,0.0,0.0
0.002165000000000102,-70.93201430784616,35.086148573449805,-35.84586573439855,-628.8577365915414,0.0,-408.8521217388303,35.086148573447595,2.212884218162027e-09,1037.7098583303718,0.0,1000.0,4.375739622333333,2.212884218162027e-09,2.2128842181620272e-12
0.002165429484825916,-71.04696250630842,35.099321893339,-35.984396105325125,-633.3868754884265,0.0,-455.0499807042022,35.062566400983286,36.755492355714246,1088.4368561926287,0.0,1000.0,1.2679517541670995,36.755492355714246,0.036755492355714244
0.002165595773149057,-71.06311742246841,35.109881483109305,-36.00530921853792,-633.9236692265234,0.0,-458.90043573188245,35.057808203930485,52.07327917882228,1092.824104958406,0.0,1000.0,2.0895207786253422e-10,52.07327917882228,0.05207327917882228
0.002165595773149085,-71.06311742246972,35.10988148311127,-36.0053092185398,-633.9236692265541,1.7019163855991338e-13,-458.90043573185756,35.05780820392991,52.073279181362274,1092.824104958412,0.0,999.9999999999999,-1.7019163855991337e-12,52.073279181362274,0.05207327918136227
0.0021660252579748986,-71.02567475087301,35.14753313419707,-35.96856341735265,-632.0168683689242,0.320336148819529,-431.6501219158979,35.05711133352035,90.4218006767161,1063.9873264336416,0.0,999.6796638511805,-3.2033614881952897,90.4218006767161,0.09042180067671611
0.0021664547428007124,-70.87719142324451,35.19406326731194,-35.80556423898614,-625.6242634314543,0.603162771655389,-354.68460093778197,35.07162718425836,122.43608305357591,980.9120271408918,0.0,999.3968372283446,-6.031627716553889,122.43608305357591,0.12243608305357592
0.002166884227626526,-70.62893648966109,35.24006548815518,-35.53151034237347,-615.4288090657027,0.8159622975713017,-237.02743002817067,35.09742614728761,142.63934086757294,853.2722013914448,0.0,999.1840377024287,-8.159622975713017,142.63934086757294,0.14263934086757293
0.00216731371245234,-70.30215530970673,35.27545325250375,-35.17363796980899,-602.538305059985,0.93439435863921,-92.3816111781664,35.12851733989773,146.93591260601852,695.8543105967906,0.0,999.0656056413608,-9.3439435863921,146.93591260601852,0.14693591260601852
0.0021677431972781536,-69.92559183179651,35.29062927072258,-34.768043927810304,-588.3562978166043,0.945087676820959,62.4662106534671,35.157547903986206,133.08136673637847,526.8351748399582,0.0,999.054912323179,-9.45087676820959,133.08136673637847,0.13308136673637846
0.0021681726821039674,-69.53215094235883,35.2775954826115,-34.35549289870816,-574.419138357792,0.8471570003012773,209.5938013537401,35.17665804365068,100.93743896082252,365.6724940043531,0.0,999.1528429996987,-8.471570003012772,100.93743896082252,0.10093743896082252
0.002168602166929781,-69.15508884996228,35.23087547358221,-33.976696270394456,-562.2181160443296,0.6522730743777146,332.0175905455476,35.17839257956781,52.48289401439474,230.85279857315976,0.0,999.3477269256223,-6.522730743777146,52.48289401439474,0.05248289401439474
0.0021689760741100315,-68.86354540056114,35.16088038742664,-33.70266501313452,-554.0121546886307,0.42130500148452654,407.38982835359445,35.160880387426616,2.4562574196806963e-11,147.04363133652086,0.0,999.5786949985155,-4.213050014845265,2.4562574196806963e-11,2.4562574196806964e-14
0.002168976074110059,-42.18926472427694,7.028384336852367,-7.028384336852367,-120.74779815429275,0.42130500146577604,-25.87452817591988,35.16088038742457,0.0,147.0436313316784,0.0,999.5786949985343,-4.21305001465776,0.0,-28.13249605056806
0.002169405558935873,-38.4812843470085,3.3518490564333447,-3.3518490564333447,-57.584840827177366,0.4349207660714428,-12.339608748680869,35.12943529057515,0.0,70.35937034192968,0.0,999.5650792339286,-4.349207660714428,0.0,-31.777586234141808
0.002169999999999992,-33.25714076681829,-1.8288248232292914,1.8288248232292914,31.41925085925891,0.43771598461201633,6.73269661269834,35.08596559004758,0.0,-37.71423148734523,0.0,999.562284015388,-4.377159846120163,0.0,-36.91479041327687
0.0021700000000000196,-33.257140766575795,-1.828824823469758,1.828824823469758,31.419250863390126,0.43771598461172484,6.732696613583601,35.085965590045554,0.0,-37.714231492362,0.0,999.5622840153883,-4.377159846117248,0.0,-36.91479041351531
0.0021700000000000473,0.0,-35.845703101604606,35.085965590043514,628.8552914576392,1000.0,408.85894003983105,35.085965590043514,0.0,-37.71423149747005,0.0,0.0,-4.377159846114036,0.0,-70.93166869164811
0.002170000000000075,2.2118234782970843e-12,-35.84570310161741,35.08596559004368,628.855291458076,1000.0,408.85894004448545,35.08596559004147,2.2118234782970842e-09,-37.71423150256124,2.2118234782970842e-09,0.0,-4.377159845922919,0.0,-70.93166869165888
0.0021704227111709203,0.03615036942963907,-35.98306264126068,35.098780298439905,633.3503903447894,1000.0,454.7564655068735,35.062629929010264,36.15036942963907,-88.10685585166276,36.15036942963907,0.0,-1.3199098517714902,0.0,-71.04569257027094
0.002170595911028606,0.05209244843545638,-36.00525527928917,35.109715357792226,633.9246659231792,1000.0,458.9411247054377,35.057622909356766,52.092448435456376,-92.8657906286168,52.092448435456376,0.0,-2.7211566333562587e-13,0.0,-71.06287818864594
0.0021705959110286336,0.05209244843799579,-36.00525527929099,35.10971535779418,633.924665923208,999.999999999979,458.94112470539307,35.05762290935618,52.09244843799579,-92.86579062862221,52.09244843799579,2.1034707309297575e-11,2.1034707309297573e-10,0.0,-71.06287818864718
0.002171018622199479,0.0898817364466953,-35.97009114578075,35.1467062581812,632.0834832948867,999.684447562368,432.51390974893394,35.056824521734505,89.8817364466953,-64.91294548145287,89.8817364466953,0.31555243763208796,3.155524376320879,0.0,-71.02691566751524
0.002171441333370324,0.12162161018217447,-35.81241904739632,35.19243974396058,625.8873859572004,999.4047169783473,357.7998653363667,35.0708181337784,121.62161018217448,15.71746568478014,121.62161018217448,0.5952830216526295,5.952830216526294,0.0,-70.88323718117472
