time,Current: AMDpa,Current: AMDpb,Current: AMDpc,Current: AMDpd,Current: AMDP1,Current: AMDP2,Voltage: VMCF,Voltage: VMDpa,Voltage: VMDpb,Voltage: VMDpc,Voltage: VMDpd,Voltage: VMDP1,Voltage: VMDP2,Voltage: VMout
0.023979999999999998,1.3868770599365234,1.3868770599365234,0.0,0.0,-0.0009123086929321289,0.8050525784492493,2.016794443130493,0.0,0.0,-2.016794443130493,-2.016794443130493,-13.500653266906738,-13.500653266906738,13.500653266906738
0.023981,1.4273629188537598,1.4273629188537598,0.0,0.0,-0.0009326338768005371,0.8230317234992981,2.0344207286834717,0.0,0.0,-2.0344207286834717,-2.0344207286834717,-13.501575469970703,-12.68661117553711,13.501575469970703
0.023982,1.458977222442627,1.458977222442627,0.0,0.0,-0.0009428858757019043,0.83201003074646,2.0400614738464355,0.0,0.0,-2.0400614738464355,-2.0400614738464355,-13.50251293182373,-11.859089851379395,13.50251293182373
0.023982999999999997,1.4813878536224365,1.4813878536224365,0.0,0.0,-0.000942528247833252,0.831771731376648,2.036728858947754,0.0,0.0,-2.036728858947754,-2.036728858947754,-13.503456115722656,-11.027198791503906,13.503456115722656
0.023984,1.4944324493408203,1.4944324493408203,0.0,0.0,-0.0009317398071289062,0.8222372531890869,2.0275254249572754,0.0,0.0,-2.0275254249572754,-2.0275254249572754,-13.504393577575684,-10.200194358825684,13.504393577575684
0.023985,1.498121738433838,1.498121738433838,0.0,0.0,-0.0009104013442993164,0.8034647107124329,2.015582323074341,0.0,0.0,-2.015582323074341,-2.015582323074341,-13.505314826965332,-9.387343406677246,13.505314826965332
0.023986,1.492637038230896,1.492637038230896,0.0,0.0,-0.0008788704872131348,0.7756490707397461,2.003997802734375,0.0,0.0,-2.003997802734375,-2.003997802734375,-13.506209373474121,-8.597786903381348,13.506209373474121
0.023986999999999998,1.4783284664154053,1.4783284664154053,0.0,0.0,-0.0008373856544494629,0.7391195893287659,1.9957791566848755,0.0,0.0,-1.9957791566848755,-1.9957791566848755,-13.507067680358887,-7.840402603149414,13.507067680358887
0.023988,1.4557077884674072,1.4557077884674072,0.0,0.0,-0.0007866024971008301,0.6943345665931702,1.9937846660614014,0.0,0.0,-1.9937846660614014,-1.9937846660614014,-13.507879257202148,-7.123675346374512,13.507879257202148
0.023989,1.4254391193389893,1.4254391193389893,0.0,0.0,-0.0007269978523254395,0.6418744921684265,2.0006706714630127,0.0,0.0,-2.0006706714630127,-2.0006706714630127,-13.508636474609375,-6.455570697784424,13.508636474609375
0.023989999999999997,1.388328194618225,1.388328194618225,0.0,0.0,0.805895209312439,-0.0009132027626037598,2.0188419818878174,0.0,0.0,-2.0188419818878174,-2.0188419818878174,-13.509329795837402,-13.509329795837402,13.509329795837402
0.023991,1.428855061531067,1.428855061531067,0.0,0.0,0.8238924741744995,-0.0009336471557617188,2.036484718322754,0.0,0.0,-2.036484718322754,-2.036484718322754,-12.694436073303223,-13.510252952575684,13.510252952575684
0.023992,1.460500955581665,1.460500955581665,0.0,0.0,0.8328794240951538,-0.0009438395500183105,2.0421292781829834,0.0,0.0,-2.0421292781829834,-2.0421292781829834,-11.866049766540527,-13.511191368103027,13.511191368103027
0.023993,1.482933521270752,1.482933521270752,0.0,0.0,0.8326401710510254,-0.0009435415267944336,2.0387909412384033,0.0,0.0,-2.0387909412384033,-2.0387909412384033,-11.033289909362793,-13.51213550567627,13.51213550567627
0.023993999999999998,1.49599027633667,1.49599027633667,0.0,0.0,0.8230950236320496,-0.0009326934814453125,2.029575824737549,0.0,0.0,-2.029575824737549,-2.029575824737549,-10.205422401428223,-13.513073921203613,13.513073921203613
0.023995,1.499681830406189,1.499681830406189,0.0,0.0,0.8043020963668823,-0.0009113550186157227,2.01761794090271,0.0,0.0,-2.01761794090271,-2.01761794090271,-9.3917236328125,-13.513996124267578,13.513996124267578
0.023996,1.494189977645874,1.494189977645874,0.0,0.0,0.7764566540718079,-0.0008797645568847656,2.006019115447998,0.0,0.0,-2.006019115447998,-2.006019115447998,-8.601344108581543,-13.514891624450684,13.514891624450684
0.023996999999999997,1.4798648357391357,1.4798648357391357,0.0,0.0,0.7398881912231445,-0.0008382797241210938,1.9977896213531494,0.0,0.0,-1.9977896213531494,-1.9977896213531494,-7.8431715965271,-13.515750885009766,13.515750885009766
0.023998,1.457218885421753,1.457218885421753,0.0,0.0,0.6950556039810181,-0.0007873773574829102,1.9957908391952515,0.0,0.0,-1.9957908391952515,-1.9957908391952515,-7.125699520111084,-13.516563415527344,13.516563415527344
0.023999,1.4269169569015503,1.4269169569015503,0.0,0.0,0.6425399780273438,-0.0007278323173522949,2.0026819705963135,0.0,0.0,-2.0026819705963135,-2.0026819705963135,-6.456901550292969,-13.51732063293457,13.51732063293457
0.024,1.389765739440918,1.389765739440918,0.0,0.0,-0.0009142160415649414,0.8067300319671631,2.0208699703216553,0.0,0.0,-2.0208699703216553,-2.0208699703216553,-13.518014907836914,-13.518014907836914,13.518014907836914
0.024000999999999998,1.430333137512207,1.430333137512207,0.0,0.0,-0.000934600830078125,0.824745237827301,2.0385289192199707,0.0,0.0,-2.0385289192199707,-2.0385289192199707,-13.518939018249512,-12.702277183532715,13.518939018249512
0.024002,1.462010383605957,1.462010383605957,0.0,0.0,-0.0009447932243347168,0.833740770816803,2.0441770553588867,0.0,0.0,-2.0441770553588867,-2.0441770553588867,-13.519878387451172,-11.873034477233887,13.519878387451172
0.024003,1.4844646453857422,1.4844646453857422,0.0,0.0,-0.0009444952011108398,0.8335005044937134,2.0408332347869873,0.0,0.0,-2.0408332347869873,-2.0408332347869873,-13.52082347869873,-11.039413452148438,13.52082347869873
0.024003999999999998,1.4975335597991943,1.4975335597991943,0.0,0.0,-0.0009336471557617188,0.8239446878433228,2.0316061973571777,0.0,0.0,-2.0316061973571777,-2.0316061973571777,-13.52176284790039,-10.21069049835205,13.52176284790039
